index,bruises,cap_color,cap_shape,cap_surface,class,gill_attachment,gill_color,gill_size,gill_spacing,habitat,odor,population,ring_number,ring_type,spore_print_color,stalk_color_above_ring,stalk_color_below_ring,stalk_root,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,veil_color,veil_type
2844,t,e,x,f,e,f,p,b,c,d,n,v,o,p,n,w,p,b,t,s,s,w,p
5182,t,g,x,s,p,f,w,b,c,g,f,v,o,p,h,w,w,b,t,f,s,w,p
7549,t,p,f,s,e,f,w,b,c,p,n,v,t,p,w,w,w,b,e,s,s,w,p
4924,t,e,f,y,e,f,u,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
173,t,y,x,f,e,f,n,n,w,d,l,v,o,p,u,w,w,b,t,s,s,w,p
3311,t,e,f,y,e,f,n,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w,p
5984,f,y,f,y,p,f,p,b,c,d,f,y,o,l,h,p,n,b,e,k,k,w,p
3870,f,g,x,s,p,f,p,n,w,d,c,s,o,p,k,w,w,b,e,s,s,w,p
80,t,n,f,y,e,f,n,b,c,g,a,y,o,p,n,w,w,r,e,s,y,w,p
1766,t,w,x,s,p,f,n,n,c,u,p,s,o,p,n,w,w,e,e,s,s,w,p
2150,t,w,x,s,p,f,w,n,c,g,p,s,o,p,k,w,w,e,e,s,s,w,p
299,t,y,f,s,e,f,p,n,w,d,a,v,o,p,n,w,w,b,t,s,s,w,p
5881,t,b,x,s,p,f,h,b,c,g,f,v,o,p,h,w,w,b,t,s,f,w,p
464,t,y,x,y,e,f,w,b,c,m,a,n,o,p,n,w,w,c,e,s,s,w,p
2231,t,g,x,y,e,f,p,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w,p
3524,t,g,f,f,e,f,w,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w,p
4392,f,g,f,y,p,f,h,b,c,p,f,y,o,l,h,b,n,b,e,k,k,w,p
506,t,n,x,s,p,f,n,n,c,g,p,v,o,p,n,w,w,e,e,s,s,w,p
4863,t,g,f,f,e,f,u,b,c,d,n,v,o,p,n,p,p,b,t,s,s,w,p
4080,f,y,f,f,p,f,g,b,c,g,f,v,o,l,h,b,b,b,e,k,k,w,p
4753,f,y,x,y,p,f,p,b,c,g,f,y,o,l,h,b,p,b,e,k,k,w,p
1438,t,w,f,y,p,f,k,n,c,g,p,s,o,p,k,w,w,e,e,s,s,w,p
3886,f,g,x,f,p,f,g,n,w,d,c,s,o,p,n,w,w,b,e,s,s,w,p
498,t,n,f,y,e,f,p,b,c,g,a,s,o,p,n,w,w,r,e,s,y,w,p
5424,t,b,b,y,p,f,g,b,c,m,n,v,t,p,r,w,w,b,e,s,s,w,p
1963,t,e,x,f,e,f,u,b,c,d,n,v,o,p,k,g,g,b,t,s,s,w,p
1550,f,n,x,f,e,f,h,b,w,g,n,a,o,e,n,w,w,e,t,s,s,w,p
1449,t,n,x,f,e,f,n,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w,p
370,f,g,x,f,e,f,n,b,w,g,n,s,o,e,k,w,w,e,t,s,s,w,p
2311,t,n,x,f,e,f,w,b,c,d,n,y,o,p,n,p,p,b,t,s,s,w,p
4513,f,y,f,f,p,f,h,b,c,p,f,y,o,l,h,b,p,b,e,k,k,w,p
3411,t,n,f,f,e,f,u,b,c,d,n,y,o,p,n,g,g,b,t,s,s,w,p
1359,f,n,f,f,e,f,n,b,w,g,n,a,o,e,n,w,w,e,t,f,s,w,p
4544,f,y,f,f,p,f,h,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w,p
1576,f,w,f,s,e,f,k,b,w,g,n,a,o,e,k,w,w,e,t,s,f,w,p
4380,t,e,f,y,e,f,n,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w,p
1559,f,g,f,s,e,f,p,b,w,g,n,a,o,e,n,w,w,e,t,s,f,w,p
4421,f,y,x,y,p,f,p,b,c,g,f,y,o,l,h,n,p,b,e,k,k,w,p
895,t,y,x,s,e,f,k,b,c,m,l,s,o,p,n,w,w,c,e,s,s,w,p
2040,t,e,x,y,e,f,w,b,c,d,n,y,o,p,k,w,p,b,t,s,s,w,p
4102,f,y,x,f,p,f,p,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w,p
5618,t,w,b,s,p,f,g,b,c,g,n,v,t,p,r,w,w,b,e,s,s,w,p
2562,t,n,f,f,e,f,u,b,c,d,n,y,o,p,k,w,p,b,t,s,s,w,p
4113,f,g,f,f,p,f,g,b,c,g,f,v,o,l,h,n,p,b,e,k,k,w,p
2543,t,g,f,f,e,f,p,b,c,d,n,y,o,p,n,p,g,b,t,s,s,w,p
5269,t,w,x,s,p,f,h,b,c,u,f,v,o,p,h,w,w,b,t,f,s,w,p
2326,t,n,x,f,e,f,u,b,c,d,n,v,o,p,k,p,p,b,t,s,s,w,p
5510,t,w,f,s,p,f,p,b,c,g,f,v,o,p,h,w,w,b,t,f,f,w,p
1960,t,n,f,y,p,f,w,n,c,g,p,s,o,p,n,w,w,e,e,s,s,w,p
2867,t,e,x,f,e,f,n,b,c,d,n,y,o,p,n,g,p,b,t,s,s,w,p
688,t,w,b,y,e,f,n,b,c,m,a,s,o,p,n,w,w,c,e,s,s,w,p
2794,t,n,f,f,e,f,w,b,c,d,n,y,o,p,k,w,g,b,t,s,s,w,p
272,t,n,f,s,p,f,w,n,c,u,p,v,o,p,k,w,w,e,e,s,s,w,p
538,f,n,s,f,e,f,p,n,c,u,n,v,o,p,k,w,w,e,e,s,s,w,p
2452,t,g,x,y,e,f,w,b,c,d,n,y,o,p,n,p,p,b,t,s,s,w,p
2243,t,n,f,y,e,f,u,b,c,d,n,y,o,p,k,w,w,b,t,s,s,w,p
3074,f,g,x,f,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
3849,t,e,f,y,e,f,n,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
5598,t,b,f,s,p,f,p,b,c,u,f,v,o,p,h,w,w,b,t,s,s,w,p
4012,f,g,f,f,p,f,g,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w,p
4727,f,g,x,y,p,f,g,b,c,p,f,v,o,l,h,b,b,b,e,k,k,w,p
4300,f,y,f,y,p,f,g,b,c,g,f,y,o,l,h,b,n,b,e,k,k,w,p
3718,t,n,x,f,e,f,w,b,c,d,n,v,o,p,k,g,p,b,t,s,s,w,p
4561,f,y,x,y,p,f,p,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w,p
5247,f,y,x,y,p,f,h,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w,p
731,t,y,f,y,e,f,w,b,c,g,l,y,o,p,k,w,w,r,e,s,y,w,p
2498,t,e,x,f,e,f,w,b,c,d,n,y,o,p,k,g,w,b,t,s,s,w,p
2162,t,e,x,f,e,f,p,b,c,d,n,y,o,p,n,g,w,b,t,s,s,w,p
4167,f,g,x,f,p,f,h,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w,p
3600,f,g,x,f,p,f,h,b,c,g,f,v,o,l,h,p,b,b,e,k,k,w,p
4531,f,g,x,y,p,f,g,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
2802,f,w,f,f,e,f,h,b,w,g,n,s,o,e,n,w,w,e,t,s,s,w,p
622,t,w,b,s,e,f,w,b,c,g,l,n,o,p,n,w,w,c,e,s,s,w,p
3976,f,p,x,s,p,f,u,n,c,d,c,s,o,p,n,w,w,b,e,s,s,w,p
15,f,n,x,f,e,f,n,b,w,g,n,a,o,e,k,w,w,e,t,s,f,w,p
2626,t,g,x,f,e,f,w,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
7674,t,c,f,y,e,f,w,b,c,p,n,v,t,p,w,w,w,b,e,s,s,w,p
455,t,w,b,s,e,f,g,b,c,m,l,n,o,p,n,w,w,c,e,s,s,w,p
4541,f,g,f,f,p,f,h,b,c,g,f,y,o,l,h,b,b,b,e,k,k,w,p
4929,f,y,f,f,p,f,g,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w,p
3727,f,y,f,f,p,f,g,b,c,p,f,v,o,l,h,n,b,b,e,k,k,w,p
3255,t,g,f,f,e,f,w,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w,p
5727,t,w,b,s,p,f,r,b,c,m,n,v,t,p,r,w,w,b,e,s,s,w,p
105,t,w,b,y,e,f,g,b,c,g,l,n,o,p,n,w,w,c,e,s,s,w,p
1274,f,n,f,f,e,f,k,b,w,g,n,a,o,e,n,w,w,e,t,f,s,w,p
4010,t,e,f,y,e,f,w,b,c,d,n,y,o,p,k,w,g,b,t,s,s,w,p
1849,t,g,f,f,e,f,p,b,c,d,n,v,o,p,k,p,w,b,t,s,s,w,p
3982,f,p,x,f,p,f,p,n,w,d,c,v,o,p,k,w,w,b,e,s,s,w,p
3998,f,g,x,y,p,f,h,b,c,g,f,v,o,l,h,p,b,b,e,k,k,w,p
4396,f,g,f,y,p,f,p,b,c,p,f,y,o,l,h,b,n,b,e,k,k,w,p
1161,t,w,b,y,e,f,g,b,c,g,a,n,o,p,n,w,w,c,e,s,s,w,p
597,t,y,b,s,e,f,n,b,c,m,l,n,o,p,k,w,w,c,e,s,s,w,p
5750,t,g,f,s,p,f,p,b,c,u,f,v,o,p,h,w,w,b,t,s,f,w,p
3285,f,g,x,f,p,f,p,b,c,d,f,v,o,l,h,b,p,b,e,k,k,w,p
2289,t,n,f,s,p,f,p,n,c,u,p,s,o,p,k,w,w,e,e,s,s,w,p
2905,t,g,x,y,e,f,n,b,c,d,n,y,o,p,n,w,w,b,t,s,s,w,p
612,f,g,x,f,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,s,f,w,p
3640,t,n,f,y,e,f,w,b,c,d,n,y,o,p,n,w,p,b,t,s,s,w,p
4042,t,n,f,y,e,f,u,b,c,d,n,y,o,p,n,w,p,b,t,s,s,w,p
2136,t,g,x,y,e,f,u,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
2143,t,n,x,y,e,f,p,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
3959,t,g,f,y,e,f,u,b,c,d,n,v,o,p,n,w,w,b,t,s,s,w,p
4858,f,g,f,f,p,f,p,b,c,p,f,v,o,l,h,n,n,b,e,k,k,w,p
3002,f,y,x,y,p,f,h,b,c,p,f,v,o,l,h,b,n,b,e,k,k,w,p
2573,t,n,x,y,e,f,w,b,c,d,n,y,o,p,n,w,g,b,t,s,s,w,p
153,t,w,x,y,e,f,g,b,c,g,l,s,o,p,n,w,w,c,e,s,s,w,p
411,t,w,x,s,e,f,w,b,c,m,a,s,o,p,n,w,w,c,e,s,s,w,p
5540,t,w,f,s,p,f,w,b,c,g,f,v,o,p,h,w,w,b,t,s,f,w,p
7718,f,n,b,y,e,f,w,b,c,d,n,y,t,p,w,n,n,b,e,y,y,w,p
3863,t,e,f,y,e,f,w,b,c,d,n,v,o,p,k,g,p,b,t,s,s,w,p
4591,f,y,f,f,p,f,g,b,c,p,f,y,o,l,h,b,n,b,e,k,k,w,p
3648,f,g,x,f,p,f,g,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w,p
4006,f,g,x,y,p,f,h,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w,p
3104,f,y,f,f,p,f,g,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w,p
2553,t,n,f,f,e,f,u,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w,p
2472,t,g,x,f,e,f,p,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
2670,t,g,x,f,e,f,u,b,c,d,n,y,o,p,n,g,p,b,t,s,s,w,p
2862,t,n,f,y,e,f,w,b,c,d,n,v,o,p,k,p,p,b,t,s,s,w,p
84,f,g,x,f,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,s,s,w,p
1554,f,w,f,f,e,f,n,b,w,g,n,a,o,e,k,w,w,e,t,f,f,w,p
567,t,y,x,y,e,f,g,b,c,g,a,n,o,p,n,w,w,c,e,s,s,w,p
1166,t,w,b,s,e,f,w,b,c,m,a,n,o,p,n,w,w,c,e,s,s,w,p
3238,t,g,f,y,e,f,p,b,c,d,n,y,o,p,n,w,p,b,t,s,s,w,p
2342,t,g,x,y,e,f,u,b,c,d,n,y,o,p,k,w,p,b,t,s,s,w,p
1718,t,w,x,y,e,f,k,b,c,m,l,n,o,p,n,w,w,c,e,s,s,w,p
620,f,g,s,f,e,f,n,n,c,u,n,y,o,p,n,w,w,e,e,s,s,w,p
4305,f,y,f,f,p,f,h,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w,p
2393,t,g,x,y,e,f,u,b,c,d,n,v,o,p,k,p,w,b,t,s,s,w,p
2901,t,g,x,y,e,f,w,b,c,d,n,y,o,p,n,g,w,b,t,s,s,w,p
4627,f,g,f,f,p,f,h,b,c,d,f,v,o,l,h,p,b,b,e,k,k,w,p
2778,t,n,f,f,e,f,n,b,c,d,n,v,o,p,k,w,p,b,t,s,s,w,p
2475,t,g,x,y,e,f,p,b,c,d,n,y,o,p,n,w,p,b,t,s,s,w,p
5701,f,y,f,y,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
584,t,y,x,y,e,f,n,b,c,g,a,y,o,p,n,w,w,r,e,s,y,w,p
1088,t,w,x,y,e,f,w,b,c,m,l,n,o,p,k,w,w,c,e,s,s,w,p
144,t,n,f,y,e,f,w,b,c,p,a,y,o,p,k,w,w,r,e,s,y,w,p
2446,t,e,x,y,e,f,p,b,c,d,n,y,o,p,n,g,p,b,t,s,s,w,p
3545,f,g,x,f,p,f,h,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w,p
2065,f,w,x,f,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,s,f,w,p
3776,f,g,x,f,p,f,h,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w,p
723,t,y,f,s,e,f,w,n,w,d,l,v,o,p,n,w,w,b,t,s,s,w,p
5371,f,y,f,y,p,f,h,b,c,g,f,y,o,l,h,p,n,b,e,k,k,w,p
5409,f,y,f,y,p,f,g,b,c,p,f,v,o,l,h,n,b,b,e,k,k,w,p
977,t,w,b,y,e,f,n,b,c,g,l,n,o,p,k,w,w,c,e,s,s,w,p
2957,t,e,x,y,e,f,n,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
4657,f,y,f,f,p,f,p,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w,p
793,t,w,x,y,e,f,k,b,c,g,a,n,o,p,k,w,w,c,e,s,s,w,p
4150,f,g,f,y,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
1635,f,n,x,s,e,f,h,b,w,g,n,a,o,e,k,w,w,e,t,s,f,w,p
5023,f,y,f,y,p,f,g,b,c,d,f,y,o,l,h,p,b,b,e,k,k,w,p
2438,t,e,x,f,e,f,u,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
2710,t,g,x,y,e,f,u,b,c,d,n,v,o,p,k,w,w,b,t,s,s,w,p
3652,t,n,f,y,e,f,p,b,c,d,n,v,o,p,k,w,p,b,t,s,s,w,p
5935,t,b,f,s,p,f,w,b,c,g,f,s,o,p,h,w,w,b,t,s,s,w,p
5255,t,b,x,s,p,f,p,b,c,g,f,s,o,p,h,w,w,b,t,f,f,w,p
4387,f,g,f,y,p,f,p,b,c,g,f,y,o,l,h,b,b,b,e,k,k,w,p
678,t,n,x,y,e,f,n,b,c,g,l,y,o,p,n,w,w,r,e,s,y,w,p
699,t,n,x,s,p,f,p,n,c,u,p,v,o,p,n,w,w,e,e,s,s,w,p
403,t,n,x,y,p,f,p,n,c,u,p,v,o,p,n,w,w,e,e,s,s,w,p
1332,f,w,f,s,e,f,n,b,w,g,n,a,o,e,k,w,w,e,t,s,s,w,p
3026,t,e,f,y,e,f,p,b,c,d,n,v,o,p,k,g,w,b,t,s,s,w,p
3017,f,g,x,f,p,f,g,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w,p
2610,t,e,x,f,e,f,n,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
631,f,n,f,f,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,s,s,w,p
3811,f,g,x,f,p,f,h,b,c,g,f,y,o,l,h,n,p,b,e,k,k,w,p
4662,t,w,x,s,p,f,h,b,c,u,f,s,o,p,h,w,w,b,t,f,f,w,p
2270,t,g,x,f,e,f,p,b,c,d,n,v,o,p,n,p,g,b,t,s,s,w,p
46,t,w,x,y,e,f,n,b,c,g,a,n,o,p,n,w,w,c,e,s,s,w,p
2448,t,n,f,f,e,f,p,b,c,d,n,y,o,p,n,w,w,b,t,s,s,w,p
3602,t,n,x,y,e,f,w,b,c,d,n,y,o,p,k,g,w,b,t,s,s,w,p
1219,f,w,f,f,e,f,h,b,w,g,n,a,o,e,n,w,w,e,t,f,f,w,p
2085,f,g,f,f,e,f,n,b,w,g,n,s,o,e,k,w,w,e,t,s,f,w,p
5888,t,b,x,s,p,f,p,b,c,g,f,v,o,p,h,w,w,b,t,s,f,w,p
4582,f,g,x,y,p,f,p,b,c,p,f,v,o,l,h,n,n,b,e,k,k,w,p
5448,t,g,x,s,p,f,h,b,c,u,f,s,o,p,h,w,w,b,t,f,s,w,p
649,t,y,x,y,e,f,n,b,c,g,a,s,o,p,k,w,w,c,e,s,s,w,p
2248,f,g,x,f,e,f,n,b,w,g,n,a,o,e,n,w,w,e,t,f,f,w,p
5378,t,b,x,s,p,f,h,b,c,u,f,s,o,p,h,w,w,b,t,f,s,w,p
5020,f,y,f,f,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
3543,t,e,f,f,e,f,n,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w,p
3065,f,y,x,y,p,f,g,b,c,p,f,y,o,l,h,n,b,b,e,k,k,w,p
1514,t,y,x,y,e,f,g,b,c,m,a,s,o,p,k,w,w,c,e,s,s,w,p
2846,t,g,x,y,e,f,p,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
4620,f,y,x,f,p,f,p,b,c,p,f,v,o,l,h,p,n,b,e,k,k,w,p
5460,f,g,f,f,p,f,p,b,c,g,f,y,o,l,h,p,n,b,e,k,k,w,p
3140,t,g,f,y,e,f,u,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
2485,t,e,x,f,e,f,p,b,c,d,n,v,o,p,k,w,g,b,t,s,s,w,p
5419,t,w,f,s,p,f,p,b,c,u,f,v,o,p,h,w,w,b,t,f,s,w,p
4098,f,y,f,y,p,f,h,b,c,p,f,v,o,l,h,b,b,b,e,k,k,w,p
73,t,y,f,f,e,f,w,n,w,d,l,v,o,p,n,w,w,b,t,s,s,w,p
2982,t,g,x,f,e,f,p,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w,p
3507,f,g,x,f,p,f,p,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w,p
589,f,g,s,f,e,f,n,n,c,u,n,v,o,p,k,w,w,e,e,s,s,w,p
374,f,n,s,f,e,f,n,n,c,u,n,y,o,p,n,w,w,e,e,s,s,w,p
4298,f,g,f,f,p,f,p,b,c,p,f,y,o,l,h,n,b,b,e,k,k,w,p
2643,t,e,x,y,e,f,w,b,c,d,n,v,o,p,k,w,w,b,t,s,s,w,p
2624,t,n,f,f,e,f,u,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
4189,f,g,x,y,p,f,h,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w,p
3551,t,n,f,f,e,f,u,b,c,d,n,v,o,p,k,g,w,b,t,s,s,w,p
2801,t,n,x,y,e,f,w,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
4683,f,g,x,y,p,f,g,b,c,d,f,y,o,l,h,b,n,b,e,k,k,w,p
4584,f,w,x,f,p,f,g,n,c,d,c,v,o,p,n,w,w,b,e,s,s,w,p
5109,t,g,x,s,p,f,p,b,c,u,f,v,o,p,h,w,w,b,t,f,s,w,p
5168,f,y,x,f,p,f,p,b,c,p,f,y,o,l,h,n,p,b,e,k,k,w,p
1591,f,w,f,s,e,f,p,b,w,g,n,a,o,e,n,w,w,e,t,s,f,w,p
1068,f,w,f,f,e,f,p,b,w,g,n,a,o,e,n,w,w,e,t,f,s,w,p
4767,f,g,x,y,p,f,p,b,c,d,f,y,o,l,h,n,b,b,e,k,k,w,p
3439,t,e,f,f,e,f,u,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
3678,t,g,f,y,e,f,n,b,c,d,n,v,o,p,k,w,g,b,t,s,s,w,p
3171,t,g,f,y,e,f,n,b,c,d,n,y,o,p,n,g,g,b,t,s,s,w,p
4240,f,g,x,y,p,f,p,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w,p
